Tue Jan 01 17:35:51 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SOJ.llb
Tue Jan 01 17:35:54 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:13 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:36:15 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:18 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:18 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:20 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:21 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:21 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:22 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:23 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:36:26 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:45:55 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:45:55 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:46:28 Saved as file BACKUP1.MAX
Tue Jan 01 17:48:05 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:50:38 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:50:38 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
